target,horizon,fold,rows,current_c0_mape,best_single_branch,best_single_mape,full_oracle_mape,split_half_oracle_mape,full_oracle_weights
generator_1,30,dev_13,192,0.03104707788514659,persistence_pred,0.03129241398488811,0.030724208048950253,0.030846683707735686,"[0.6569698000678286, 1.9753385985733792e-18, 1.2584343621260273e-18, 5.154468727696491e-18, 0.34303019993217165]"
generator_1,30,dev_14,192,0.026996754987183697,persistence_pred,0.028224015805346458,0.026843426402867354,0.02731022877103807,"[0.5589717444515631, 1.4718405766816408e-19, 2.2702761683996435e-18, 3.279257896746946e-17, 0.4410282555484371]"
generator_1,30,dev_15,192,0.03379466758346815,persistence_pred,0.03392955747318678,0.03361042929029958,0.03444874877012999,"[0.6790373567530518, 4.3887343823872134e-17, 9.747418314722181e-18, 1.181491978446755e-17, 0.32096264324694823]"
generator_1,30,dev_16,192,0.03251811730297596,recent_ridge_pred,0.03197663616714292,0.031112766494505645,0.031688582531321736,"[4.8484347889966216e-20, 0.04327031192164008, 0.5511989692039551, 0.27492836394498793, 0.13060235492941674]"
generator_1,30,dev_17,192,0.04726218291124329,ridge_pred,0.04560871466296756,0.04533228070220404,0.045550454838427124,"[1.2058105968737132e-17, 5.738368417421669e-17, 0.4660541490109915, 0.08238704924832485, 0.45155880174068364]"
generator_1,30,dev_18,192,0.033393017751514986,lgb_residual_pred,0.03223726549262027,0.03222574896314149,0.03232021021290168,"[0.051258570646658376, 5.1366374075137947e-23, 4.534416719503424e-18, 1.653583970627901e-16, 0.9487414293533418]"
generator_1,30,dev_19,192,0.03782676809262845,lgb_residual_pred,0.03811461262256452,0.03756340077570668,0.03896501507014783,"[0.42707633629922914, 1.3223606342536017e-16, 1.3751385914709565e-19, 5.5656642710336546e-18, 0.5729236637007707]"
generator_1,45,dev_01,192,0.043782647208605696,persistence_pred,0.04467388927751417,0.042211273856981014,0.04738306317502952,"[0.5489915399678396, 2.7335347286399702e-17, 0.19671706644924836, 3.5402078766506413e-19, 0.2542913935829121]"
generator_1,45,dev_02,192,0.04887042221119272,persistence_pred,0.049453105042611835,0.04808272306042888,0.04908241425172669,"[0.5325172848020914, 0.36259384575182385, 0.07982387296416701, 7.9439470675352e-18, 0.025064996481917658]"
generator_1,45,dev_03,192,0.06515642360836481,gas_ridge_pred,0.0637516746996986,0.0616659252903202,0.06297138956733249,"[2.129248336262318e-16, 6.139058651287486e-16, 7.102927309117542e-20, 0.5594833883562449, 0.44051661164375433]"
