timestamp,month,half_slot,current_price,t+15,t+30,t+45,t+60,t+75,t+90,t+105,t+120,bug_price_switch_within_120,bug_steps_to_price_switch,fix_price_switch_within_120,fix_steps_to_price_switch,diverges
2025-01-02 09:00:00,1,18,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.22,1,8,1,8,0
2025-01-02 09:15:00,1,18,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.22,0.22,1,7,1,7,0
2025-01-02 09:30:00,1,19,0.53,0.53,0.53,0.53,0.53,0.53,0.22,0.22,0.22,1,6,1,6,0
2025-01-02 09:45:00,1,19,0.53,0.53,0.53,0.53,0.53,0.22,0.22,0.22,0.22,1,5,1,5,0
2025-01-02 10:00:00,1,20,0.53,0.53,0.53,0.53,0.22,0.22,0.22,0.22,0.22,1,4,1,4,0
2025-01-02 10:15:00,1,20,0.53,0.53,0.53,0.22,0.22,0.22,0.22,0.22,0.22,1,3,1,3,0
2025-01-02 10:30:00,1,21,0.53,0.53,0.22,0.22,0.22,0.22,0.22,0.22,0.22,1,2,1,2,0
2025-01-02 10:45:00,1,21,0.53,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0,0,1,1,1
2025-01-02 11:00:00,1,22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.53,1,8,1,8,0
2025-01-02 11:15:00,1,22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.53,0.53,1,7,1,7,0
2025-01-02 11:30:00,1,23,0.22,0.22,0.22,0.22,0.22,0.22,0.53,0.53,0.53,1,6,1,6,0
2025-01-02 11:45:00,1,23,0.22,0.22,0.22,0.22,0.22,0.53,0.53,0.53,0.53,1,5,1,5,0
2025-01-02 12:00:00,1,24,0.22,0.22,0.22,0.22,0.53,0.53,0.53,0.53,0.92,1,4,1,4,0
2025-01-02 12:15:00,1,24,0.22,0.22,0.22,0.53,0.53,0.53,0.53,0.92,0.92,1,3,1,3,0
2025-01-02 12:30:00,1,25,0.22,0.22,0.53,0.53,0.53,0.53,0.92,0.92,0.92,1,2,1,2,0
2025-01-02 12:45:00,1,25,0.22,0.53,0.53,0.53,0.53,0.92,0.92,0.92,0.92,1,5,1,1,1
2025-01-02 13:00:00,1,26,0.53,0.53,0.53,0.53,0.92,0.92,0.92,0.92,0.92,1,4,1,4,0
2025-01-02 13:15:00,1,26,0.53,0.53,0.53,0.92,0.92,0.92,0.92,0.92,0.92,1,3,1,3,0
